date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:49:43	98024/98024	---M--	200	added ('OK')	font/x-woff	etag:%22058f9c43bd4d21:0%22	http://sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	./output.httrack/sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e3e6e.woff	(from http://sniper.htb/user/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:49:48	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%22058f9c43bd4d21:0%22	http://sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg?v=4.7.0	./output.httrack/sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e3e6e.svg	(from http://sniper.htb/user/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:49:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22058f9c43bd4d21:0%22	http://sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	./output.httrack/sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e3e6e.eot	(from http://sniper.htb/user/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:49:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22058f9c43bd4d21:0%22	http://sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot?	./output.httrack/sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41dd41d.eot	(from http://sniper.htb/user/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:49:57	38384/38384	---M--	200	added ('OK')	application/font-woff2	etag:%220cb35ad731ad11:0%22	http://sniper.htb/user/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff2?v=2.2.0	./output.httrack/sniper.htb/user/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1d1f1.woff2	(from http://sniper.htb/user/fonts/iconic/css/material-design-iconic-font.min.css)
19:50:02	50312/50312	---M--	200	added ('OK')	font/x-woff	etag:%220cb35ad731ad11:0%22	http://sniper.htb/user/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff?v=2.2.0	./output.httrack/sniper.htb/user/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1d1f1.woff	(from http://sniper.htb/user/fonts/iconic/css/material-design-iconic-font.min.css)
19:50:08	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%22058f9c43bd4d21:0%22	http://sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf?v=4.7.0	./output.httrack/sniper.htb/user/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e3e6e.ttf	(from http://sniper.htb/user/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:50:12	99212/99212	---M--	200	added ('OK')	application/octet-stream	etag:%220cb35ad731ad11:0%22	http://sniper.htb/user/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.ttf?v=2.2.0	./output.httrack/sniper.htb/user/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1d1f1.ttf	(from http://sniper.htb/user/fonts/iconic/css/material-design-iconic-font.min.css)
19:50:25	145312/145312	---M--	200	added ('OK')	application/octet-stream	etag:%220847b3ee89dd01:0%22	http://sniper.htb/user/fonts/poppins/Poppins-Regular.ttf	./output.httrack/sniper.htb/user/fonts/poppins/Poppins-Regular.ttf	(from http://sniper.htb/user/css/main.css)
19:50:30	143516/143516	---M--	200	added ('OK')	application/octet-stream	etag:%220847b3ee89dd01:0%22	http://sniper.htb/user/fonts/poppins/Poppins-Medium.ttf	./output.httrack/sniper.htb/user/fonts/poppins/Poppins-Medium.ttf	(from http://sniper.htb/user/css/main.css)
19:50:36	141260/141260	---M--	200	added ('OK')	application/octet-stream	etag:%220847b3ee89dd01:0%22	http://sniper.htb/user/fonts/poppins/Poppins-Bold.ttf	./output.httrack/sniper.htb/user/fonts/poppins/Poppins-Bold.ttf	(from http://sniper.htb/user/css/main.css)
19:50:36	142148/142148	---M--	200	added ('OK')	application/octet-stream	etag:%220847b3ee89dd01:0%22	http://sniper.htb/user/fonts/poppins/Poppins-SemiBold.ttf	./output.httrack/sniper.htb/user/fonts/poppins/Poppins-SemiBold.ttf	(from http://sniper.htb/user/css/main.css)
